Interlevin;G19CD;Chilled Display;51;446.1816;http://data.klsonline.co.uk/imagehost/suppliers/interlevin/;g19cd-12.jpg;595;664;837;Temperature Range in Degrees:+1/+8,Refrigerant Gas:R134a,Refrigerant Charge:60,Defrost:Manual,Shelves Provided:2,Interior Finish:White,Exterior Finish:White or Stainless Steel,Power:13 Amp,kWh per 24 hours:4.37,Watts:200,Noise Level dB:54,Max Ambient:25C at 60% RH,Reversible Door:No,Climate Class:3,Capacity in Litres:145ltr,Capacity Cuft:5.1
Interlevin;PD100T;Chilled Display;51;590.295;http://data.klsonline.co.uk/imagehost/suppliers/interlevin/;pd100t-stocked-13.jpg;pd100t-13.jpg;600;515;1800;Temperature Range in Degrees:0/+10,Refrigerant Gas:R134a,Refrigerant Charge:230,Defrost:Automatic,Shelves Provided:5,Interior Finish:Aluminium,Exterior Finish:Black,Power:13 Amp,kWh per 24 hours:3.89,Watts:268,Noise Level dB:58,Max Ambient:25C at 60% RH,Reversible Door:Factory Option,Climate Class:3,Capacity in Litres:300ltr,Capacity Cuft:10.59
Interlevin;PD200T;Chilled Display;51;818.271;http://data.klsonline.co.uk/imagehost/suppliers/interlevin/;pd200t-stocked-13.jpg;pd200t-13.jpg;920;515;1800;Temperature Range in Degrees:0/+10,Refrigerant Gas:R134a,Refrigerant Charge:300,Defrost:Automatic,Shelves Provided:5 per door,Interior Finish:Aluminium,Exterior Finish:Black,Power:13 Amp,kWh per 24 hours:5.23,Watts:418,Noise Level dB:58,Max Ambient:25C at 60% RH,Climate Class:3,Capacity in Litres:500ltr,Capacity Cuft:17.65
Interlevin;PD10H;Chilled Display;51;335.4504;http://data.klsonline.co.uk/imagehost/suppliers/interlevin/;pd10h-stocked-13.jpg;pd10h-13.jpg;pd10h-stocked-half-wine-15.jpg;pd10h-stocked-wine-15.jpg;pd10-wine-shelf.jpg;600;520;900;Temperature Range in Degrees:+3/+7,Refrigerant Gas:R600a,Refrigerant Charge:38,Defrost:Automatic,Shelves Provided:2,Interior Finish:Hammered Aluminium,Exterior Finish:Black,Power:13 Amp,kWh per 24 hours:1.93,Watts:195,Noise Level dB:50,Max Ambient:30C at 55% RH,Reversible Door:No,Climate Class:4,Capacity in Litres:142ltr,Capacity Cuft:5.0
Interlevin;PD20H;Chilled Display;51;406.2858;http://data.klsonline.co.uk/imagehost/suppliers/interlevin/;pd20h-stocked-13.jpg;pd20h-13.jpg;pd20h-stocked-half-wine-15.jpg;pd20h-stocked-wine-15.jpg;pd20-wine-shelf.jpg;900;520;900;Temperature Range in Degrees:+3/+7,Refrigerant Gas:R600a,Refrigerant Charge:54,Defrost:Automatic,Shelves Provided:2 Per door,Interior Finish:Hammered Aluminium,Exterior Finish:Black,Power:13 Amp,kWh per 24 hours:2.47,Watts:230,Noise Level dB:50,Max Ambient:30C at 55% RH,Climate Class:4,Capacity in Litres:210ltr,Capacity Cuft:7.4
Interlevin;PD20S;Chilled Display;51;406.2858;http://data.klsonline.co.uk/imagehost/suppliers/interlevin/;pd20s-stocked-13.jpg;pd20s-13.jpg;pd20s-stocked-half-wine-15.jpg;pd20s-stocked-wine-15.jpg;pd20s-lock-15.jpg;900;520;900;Temperature Range in Degrees:+3/+7,Refrigerant Gas:R600a,Refrigerant Charge:54,Defrost:Automatic,Shelves Provided:2 Per door,Interior Finish:Hammered Aluminium,Exterior Finish:Black,Power:13 Amp,kWh per 24 hours:2.68,Watts:230,Noise Level dB:50,Max Ambient:30C at 55% RH,Climate Class:4,Capacity in Litres:210ltr,Capacity Cuft:7.4
Interlevin;PD30H;Chilled Display;51;560.1696;http://data.klsonline.co.uk/imagehost/suppliers/interlevin/;pd30h-stocked-13.jpg;pd30h-13.jpg;pd30h-stocked-third-wine-15.jpg;pd30-wine-shelf.jpg;1350;520;900;Temperature Range in Degrees:+3/+7,Refrigerant Gas:R600a,Refrigerant Charge:86,Defrost:Automatic,Shelves Provided:2 Per door,Interior Finish:Hammered Aluminium,Exterior Finish:Black,Power:13 Amp,kWh per 24 hours:4.22,Watts:290,Noise Level dB:50,Max Ambient:30C at 55% RH,Climate Class:4,Capacity in Litres:340ltr,Capacity Cuft:12.0
Interlevin;PD30S;Chilled Display;51;586.224;http://data.klsonline.co.uk/imagehost/suppliers/interlevin/;pd30s-stocked-13.jpg;pd30s-13.jpg;pd30s-lock-15.jpg;1350;520;900;Temperature Range in Degrees:+3/+7,Refrigerant Gas:R600a,Refrigerant Charge:86,Defrost:Automatic,Shelves Provided:2 Per door,Interior Finish:Hammered Aluminium,Exterior Finish:Black,Power:13 Amp,kWh per 24 hours:4.22,Watts:290,Noise Level dB:50,Max Ambient:30C at 55% RH,Climate Class:4,Capacity in Litres:340ltr,Capacity Cuft:12.0
Interlevin;PD10H SS;Chilled Display;51;473.8644;http://data.klsonline.co.uk/imagehost/suppliers/interlevin/;pd10hss-stocked-15.jpg; pd10hss-stocked-half-wine-15.jpg; pd10hss-stocked-wine-15.jpg; pd10hss-interior-15.jpg; pd10hss-int-wine-15.jpg; pd10hss-cover-15.jpg; pd10hss-lock-15.jpg;600;520;900;Temperature Range in Degrees:+3/+7,Refrigerant Gas:R600a,Refrigerant Charge:38,Defrost:Automatic,Shelves Provided:2,Interior Finish:Mirror Stainless Steel,Exterior Finish:Stainless Steel,Power:13 Amp,kWh per 24 hours:1.93,Watts:195,Noise Level dB:50,Max Ambient:30C at 55% RH,Reversible Door:No,Climate Class:4,Capacity in Litres:142ltr,Capacity Cuft:5.0
Interlevin;PD20H SS;Chilled Display;51;593.5518;http://data.klsonline.co.uk/imagehost/suppliers/interlevin/;pd20hss-stocked-15.jpg; pd20hss-stocked-half-wine-15.jpg; pd20hss-stocked-wine-15.jpg; pd20hss-interior-15.jpg; pd20hss-int-wine-15.jpg; pd20hss-cover-15.jpg; pd20hss-lock-15.jpg;900;520;900;Temperature Range in Degrees:+3/+7,Refrigerant Gas:R600a,Refrigerant Charge:54,Defrost:Automatic,Shelves Provided:2 Per Door,Interior Finish:Mirror Stainless Steel,Exterior Finish:Stainless Steel,Power:13 Amp,kWh per 24 hours:2.47,Watts:230,Noise Level dB:50,Max Ambient:30C at 55% RH,Climate Class:4,Capacity in Litres:210ltr,Capacity Cuft:7.4
